ID,TOTAL_MVM,NAZICO,OBEC,SHARE_%,CUM_SHARE_%,RANK
320110_POD,715.618,CHEVAK - Okrouhlá,Okrouhlá,0.17564038417113098,97.95884892507422,32
320129_POD,704.066,CHEVAK - prameniště Lazy,Lázně Kynžvart,0.17280507578321327,98.13165400085744,33
320109_POD,645.01,CHEVAK - Brtná - prameniště,Dolní Žandov,0.15831044522946766,98.2899644460869,34
320910_POV,605.549,SU - úpravna a třídírna uhlí Tisová,Březová,0.14862518689362786,98.43858963298052,35
320116_POD,565.745,CHEVAK - Odrava - Studna S3,Odrava,0.13885574306808451,98.5774453760486,36
321640_POD,476.975,"Pitná voda Mnichov - HV 37, 39, 40, 41",Mnichov,0.11706814563080471,98.69451352167941,37
320214_POD,466.42,Vak K.Vary - Stružná,Stružná,0.114477539672142,98.80899106135155,38
320315_POD,384.225,VOSS Stříbrná  - prameniště,Stříbrná,0.09430370198646876,98.90329476333801,39
322030_POD,331.48900000000003,Obec Lipová,Lipová,0.0813602443042294,98.98465500764225,40
320126_POD,324.125,Chevak Schönberg - česká část,Hazlov,0.07955283338243005,99.06420784102468,41
320231_POD,309.117,Vak K. Vary Krásno - důlní,Krásno,0.07586928869009374,99.14007712971478,42
320212_POV,279.863,VaK K.Vary - Nová Ves-ÚV,Nová Ves,0.06868922362948561,99.20876635334427,43
320102_POD,277.643,CHEVAK Libá vrt HV6,Libá,0.06814434961449449,99.27691070295877,44
320121_POD,273.585,CHEVAK - Starý Hrozňatov,Cheb,0.06714835918529001,99.34405906214407,45
320101_POD,263.679,CHEVAK Libá  - vrt HV5,Libá,0.06471704297245129,99.40877610511652,46
321180_POD,249.378,Obec Vysoká Pec-pramenní jímka,Vysoká Pec,0.061207023473177455,99.46998312858969,47
322780_POD,209.179,Krásno - VK-4,Krásno,0.051340631343164946,99.52132375993286,48
320108_POD,204.99099999999999,CHEVAK - Brtná - studna,Dolní Žandov,0.050312733877046566,99.5716364938099,49
321280_POD,167.406,Statek Zeos Sadov - Stráň,Sadov,0.041087918627748826,99.61272441243766,50
320132_POD,144.646,CHEVAK - Libá -  vrt 3,Libá,0.03550173278036244,99.64822614521802,51
322070_POD,141.303,Obec Dolní Nivy,Jindřichovice,0.034681231054184386,99.6829073762722,52
320100_POD,117.603,CHEVAK - Nový Kostel - prameniště,Nový Kostel,0.02886433278603601,99.71177170905824,53
321750_POD,109.56099999999999,Obec Kaceřov-Horní Pochlovice,Chlum Svaté Maří,0.02689051439479342,99.73866222345303,54
322081_POD,104.059,Obec Šindelová- Obora,Šindelová,0.02554011041709923,99.76420233387013,55
321530_POV,99.168,Město Nejdek Vysoká Pec - ÚV,Nejdek,0.024339669512900345,99.78854200338303,56
321090_POD,89.806,Betonárka Sadov,Sadov,0.02204187197760899,99.81058387536063,57
320302_POD,85.651,VOSS zdroj Háj u Jindřichovic,Jindřichovice,0.021022073990091837,99.83160594935073,58
322250_POD,66.959,Ing. Alois Vörös - Dolní Hraničná - S5,Cheb,0.016434332959364858,99.8480402823101,59
320138_POD,65.159,CHEVAK - Nový Kostel - studna,Nový Kostel,0.01599254321748017,99.86403282552757,60
321930_POD,64.804,"Domov """"""""PRAMEN"""""""" Mnichov",Mnichov,0.01590541246283069,99.8799382379904,61
322080_POD,61.576,Obec Šindelová - Krásná  Lípa,Šindelová,0.015113136192384153,99.89505137418278,62
320120_POD,57.724000000000004,CHEVAK - Luby I,Luby,0.014167706144750923,99.90921908032753,63
320303_POD,51.435,VOSS podzemní zdroj Šindelová- Obora,Šindelová,0.012624141874354924,99.92184322220189,64
320204_POD,46.113,VaK K. Vary - Prameny,Prameny,0.0113179168708492,99.93316113907274,65
321520_POV,45.342,Amati Kraslice 110,Kraslice,0.01112868359807526,99.94428982267081,66
321370_POD,41.722,Agrokombinát Palič,Lipová,0.010240195339396055,99.9545300180102,67
321501_POD,40.253,Město Rotava - vrt pro ÚV,Stříbrná,0.009879645822269054,99.96440966383247,68
322850_POD,31.358,Zámek Lužec u Nejdku,Nejdek,0.007696468181122227,99.9721061320136,69
322180_POD,27.709,Obec Milíkov prameniště,Milíkov,0.00680086219882377,99.97890699421242,70
320207_POD,22.0,Vak K.Vary Bečov nad Teplou,Bečov nad Teplou,0.005399652400812838,99.98430664661323,71
320316_POD,19.828,VOSS Stříbrná - vrt 2020,Stříbrná,0.004866559445605316,99.98917320605884,72
320304_POD,11.831,"Vak Březová Kamenice S1,2",Březová,0.002903785797909849,99.99207699185675,73
320237_POD,9.567,Vodní zdroj Lučiny,Hradiště,0.0023481124781171104,99.99442510433487,74
321282_POD,7.718999999999999,"Vodovod Sedlečko - Šemnice, Sedlečko",Šemnice,0.0018945416764488316,99.99631964601132,75
370077_POD,4.192,Obec Dolní Nivy -Horní Rozmyšl,Dolní Nivy,0.0010288792211003374,99.99734852523241,76
370075_POD,3.065,Obec Dolní Nivy,Dolní Nivy,0.000752269754931425,99.99810079498734,77
370290_POD,2.035,VOSS Jindřichovice U Bartošů,Jindřichovice,0.0004994678470751875,99.99860026283442,78
321283_POD,1.8599999999999999,Vodovod Nová Kyselka,Kyselka,0.0004565160666141763,99.99905677890104,79
370289_POD,1.032,VOSS Hrušková,Sokolov,0.00025329278534722043,99.99931007168638,80
370196_POD,0.885,Casina Admirál Svatý Kříž - Háje u Chebu,Cheb,0.000217213289759971,99.99952728497614,81
320331_POD,0.748,VOSS studna Nadlesí,Loket,0.0001835881816276365,99.99971087315777,82
320303_POV,0.536,VOSS Podstrání,Rovná,0.00013155516758344007,99.99984242832535,83
370203_POD,0.447,CHEVAK - vodní zdroj Těšov,Milíkov,0.00010971111923469722,99.99995213944459,84
370053_POD,0.195,VOSS Lobzy,Březová,4.7860555370841064e-05,99.99999999999996,85
